Id,MSSubClass,MSZoning_RL,MSZoning_RM,MSZoning_C (all),MSZoning_FV,MSZoning_RH,LotArea,LotShape,LotConfig_FR2,LotConfig_Inside,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR3,Neighborhood_Veenker,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_NoRidge,Neighborhood_Somerst,Neighborhood_NWAmes,Neighborhood_OldTown,Neighborhood_BrkSide,Neighborhood_NridgHt,Neighborhood_NAmes,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Sawyer,Neighborhood_Timber,Neighborhood_Mitchel,Neighborhood_StoneBr,Neighborhood_ClearCr,Neighborhood_Gilbert,Neighborhood_SawyerW,Neighborhood_NPkVill,Neighborhood_Edwards,Neighborhood_Blmngtn,Neighborhood_BrDale,Neighborhood_SWISU,Neighborhood_Blueste,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_SLvl,HouseStyle_2.5Unf,HouseStyle_2.5Fin,HouseStyle_SFoyer,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle_Gable,RoofStyle_Hip,RoofStyle_Gambrel,RoofStyle_Flat,RoofStyle_Mansard,RoofStyle_Shed,Exterior1st_MetalSd,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_HdBoard,Exterior1st_BrkFace,Exterior1st_WdShing,Exterior1st_CemntBd,Exterior1st_Plywood,Exterior1st_Stucco,Exterior1st_AsbShng,Exterior1st_Stone,Exterior1st_ImStucc,Exterior1st_BrkComm,Exterior2nd_MetalSd,Exterior2nd_VinylSd,Exterior2nd_Wd Shng,Exterior2nd_HdBoard,Exterior2nd_Wd Sdng,Exterior2nd_CmentBd,Exterior2nd_Plywood,Exterior2nd_BrkFace,Exterior2nd_AsbShng,Exterior2nd_Stucco,Exterior2nd_Brk Cmn,Exterior2nd_AsphShn,Exterior2nd_Other,Exterior2nd_ImStucc,Exterior2nd_Stone,MasVnrType_None,MasVnrType_BrkFace,MasVnrType_Stone,MasVnrType_BrkCmn,MasVnrArea,ExterQual,Foundation_CBlock,Foundation_PConc,Foundation_BrkTil,Foundation_Stone,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType_Attchd,GarageType_Detchd,GarageType_BuiltIn,GarageType_Basment,GarageType_CarPort,GarageType_2Types,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice
11,20,1,0,0,0,0,11200,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,1965,1965,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,906,134,1040,4,1040,0,1040,1,1,0,3,2,5,0,-2,0,1,0,0,0,0,1965,0,1,384,0,0,2,2008,129500
12,60,1,0,0,0,0,11924,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,2005,2006,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,286,2,0,1,0,0,4,0,5,998,177,1175,4,1182,1142,2324,1,3,0,4,4,11,2,2,0,0,1,0,0,0,2005,2,3,736,147,21,7,2006,345000
13,20,1,0,0,0,0,12968,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,6,1962,1962,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,4,737,175,912,2,912,0,912,1,1,0,2,2,4,0,-2,0,1,0,0,0,0,1962,0,1,352,140,0,9,2008,144000
14,20,1,0,0,0,0,10652,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,5,2006,2007,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,306,1,0,1,0,0,3,2,0,0,1494,1494,4,1494,0,1494,0,2,0,3,3,7,1,2,1,0,0,0,0,0,2006,1,3,840,160,33,8,2007,279500
15,20,1,0,0,0,0,10920,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,1960,1960,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,212,0,1,0,0,0,2,0,3,733,520,1253,2,1253,0,1253,1,1,1,2,2,5,1,0,1,0,0,0,0,0,1960,1,1,352,0,213,5,2008,157000
16,45,0,1,0,0,0,6120,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,8,1929,2001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,832,832,4,854,0,854,0,1,0,2,2,5,0,-2,0,1,0,0,0,0,1991,0,2,576,48,112,7,2007,132000
17,20,1,0,0,0,0,11241,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,7,1970,1970,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,180,0,1,0,0,0,2,0,4,578,426,1004,4,1004,0,1004,1,1,0,2,2,5,1,1,1,0,0,0,0,0,1970,2,2,480,0,0,3,2010,149000
18,90,1,0,0,0,0,10791,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,1967,1967,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,2,1296,0,1296,0,2,0,2,2,6,0,-2,0,0,0,0,1,0,1967,0,2,516,0,0,10,2006,90000
19,20,1,0,0,0,0,13695,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,2004,2004,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,5,646,468,1114,4,1114,0,1114,1,1,1,3,3,6,0,-2,0,1,0,0,0,0,2004,0,2,576,0,102,6,2008,159000
20,20,1,0,0,0,0,7560,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,6,1958,1965,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,504,525,1029,2,1339,0,1339,0,1,0,3,2,6,0,-2,1,0,0,0,0,0,1958,0,1,294,0,0,5,2009,139000
21,60,1,0,0,0,0,14215,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,5,2005,2006,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,380,1,0,1,0,0,4,2,0,0,1158,1158,4,1158,1218,2376,0,3,1,4,3,9,1,2,0,0,1,0,0,0,2005,1,3,853,240,154,11,2006,325300
22,45,0,1,0,0,0,7449,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,1930,1950,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,637,637,4,1108,0,1108,0,1,0,3,3,6,1,2,1,0,0,0,0,0,1930,0,1,280,0,0,6,2007,139400
23,20,1,0,0,0,0,9742,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,5,2002,2002,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,281,1,0,1,0,0,3,0,0,0,1777,1777,4,1795,0,1795,0,2,0,3,3,7,1,2,1,0,0,0,0,0,2002,1,2,534,171,159,9,2008,230000
24,120,0,1,0,0,0,4224,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,1976,1976,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,5,840,200,1040,2,1060,0,1060,1,1,0,3,2,6,1,1,1,0,0,0,0,0,1976,0,2,572,100,110,6,2007,129900
25,20,1,0,0,0,0,8246,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,8,1968,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,2,188,204,1060,4,1060,0,1060,1,1,0,3,3,6,1,1,1,0,0,0,0,0,1968,0,1,270,406,90,5,2010,154000
26,20,1,0,0,0,0,14230,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,5,2007,2007,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,640,1,0,1,0,0,3,0,0,0,1566,1566,4,1600,0,1600,0,2,0,3,3,7,1,2,1,0,0,0,0,0,2007,1,3,890,0,56,7,2009,256300
27,20,1,0,0,0,0,7200,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,1951,2000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,3,234,180,900,2,900,0,900,0,1,0,3,3,5,0,-2,0,1,0,0,0,0,2005,0,2,576,222,32,5,2010,134800
28,20,1,0,0,0,0,11478,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,5,2007,2008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200,1,0,1,0,0,4,0,5,1218,486,1704,4,1704,0,1704,1,2,0,3,3,7,1,2,1,0,0,0,0,0,2008,1,3,772,0,50,5,2010,306000
29,20,1,0,0,0,0,16321,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,6,1957,1997,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,3,1277,207,1484,2,1600,0,1600,1,1,0,2,2,6,2,2,1,0,0,0,0,0,1957,1,1,319,288,258,12,2006,207500
30,30,0,1,0,0,0,6324,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,6,1927,1950,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,520,520,1,520,0,520,0,1,0,1,1,4,0,-2,0,1,0,0,0,0,1920,0,1,240,49,0,5,2008,68500
31,70,0,0,1,0,0,8500,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,1920,1950,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,649,649,2,649,668,1317,0,1,0,3,2,6,0,-2,0,1,0,0,0,0,1920,0,1,250,0,54,7,2008,40000
32,20,1,0,0,0,0,8544,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,6,1966,2006,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1228,1228,3,1228,0,1228,0,1,1,3,3,6,0,-2,1,0,0,0,0,0,1966,0,1,271,0,65,6,2008,149350
33,20,1,0,0,0,0,11049,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,5,2007,2007,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,2,0,0,1234,1234,4,1234,0,1234,0,2,0,3,3,7,0,-2,1,0,0,0,0,0,2007,1,2,484,0,30,1,2008,179900
34,20,1,0,0,0,0,10552,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,1959,1959,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,1018,380,1398,3,1700,0,1700,0,1,1,4,3,6,1,2,1,0,0,0,0,0,1959,1,2,447,0,38,4,2010,165500
35,120,1,0,0,0,0,7313,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,5,2005,2005,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,246,2,0,1,0,0,4,0,5,1153,408,1561,4,1561,0,1561,1,2,0,2,4,6,1,2,1,0,0,0,0,0,2005,2,2,556,203,47,8,2007,277500
36,60,1,0,0,0,0,13418,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,5,2004,2005,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,132,1,0,1,0,0,4,2,0,0,1117,1117,4,1132,1320,2452,0,3,1,4,3,9,1,2,0,0,1,0,0,0,2004,2,3,691,113,32,9,2006,309000
37,20,1,0,0,0,0,10859,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,1994,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1097,1097,4,1097,0,1097,0,1,1,3,2,6,0,-2,1,0,0,0,0,0,1995,0,2,672,392,64,6,2009,145000
38,20,1,0,0,0,0,8532,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,6,1954,1990,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,650,0,1,0,0,0,2,0,2,1213,84,1297,3,1297,0,1297,0,1,0,3,2,5,1,1,1,0,0,0,0,0,1954,2,2,498,0,0,10,2009,153000
39,20,1,0,0,0,0,7922,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,1953,2007,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,5,731,326,1057,2,1057,0,1057,1,1,0,3,3,5,0,-2,0,1,0,0,0,0,1953,0,1,246,0,52,1,2010,109000
40,90,1,0,0,0,0,6040,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,5,1955,1955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,-1,-1,0,0,0,2,1152,0,1152,0,2,0,2,1,6,0,-2,0,0,0,0,0,0,0,-1,0,0,0,0,6,2008,82000
41,20,1,0,0,0,0,8658,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,1965,1965,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,101,0,1,0,0,0,2,0,2,643,445,1088,4,1324,0,1324,0,2,0,3,2,6,1,1,1,0,0,0,0,0,1965,1,2,440,0,138,12,2006,160000
42,20,1,0,0,0,0,16905,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,6,1959,1959,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,3,967,383,1350,3,1328,0,1328,0,1,1,2,2,5,2,2,1,0,0,0,0,0,1959,1,1,308,0,104,7,2007,170000
